Name,Description,ImageLink,Rating,Price,StoreName
Xiaomi 12T 8/256 Gb,,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/2/2/85785a5c-1657-4cee-b350-0c640aaf22c9.jpg,5.0,"Rp5,73jt - Rp5,78jt",jikalaku
"vivo V27 (8/256) - 50 MP HD AF Selfie, 3D Curved Screen with Slim Body",,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/2/d9016078-138a-4f61-81f8-562ceb21cebe.jpg,4.9,Rp5.999.000,vivo Indonesia
REALME 5 PRO 4/128GB NEW RESMI,,https://images.tokopedia.net/img/cache/200-square/product-1/2019/9/26/562205365/562205365_d699b4dd-9dfc-4911-899a-cde394ce0a19_1280_1280.jpg,5.0,Rp2.899.000,RealmeStore
Vivo Y15s 3/32 GB Garansi Resmi Vivo Y15 S RAM 3 32 GB Blue Green,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/21/52209213-2687-4bab-bf1f-51571d316747.jpg,4.9,"Rp1,2jt - Rp1,89jt",Distributor Ponsel
OPPO F9 RAM 4/64 GARANSI RESMI OPPO INDONESIA 1TH,,https://images.tokopedia.net/img/cache/200-square/product-1/2018/11/6/322267599/322267599_3b6e53d3-92a7-4b05-a91b-491517788a9e_1920_1920.jpg,4.9,Rp2.449.900,189 CELL
VIVO Y30i RAM 4/64 GB GARANSI RESMI VIVO INDONESIA,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/7/12/3eb48087-8508-44e6-a70a-e6834d0ba454.png,5.0,"Rp1,49jt - Rp1,99jt",189 CELL
hp samsung e1272 termurah original jadul samsung lipat dual sim,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/21/83808d04-014e-49e0-ada2-8213b391f514.jpg,4.7,Rp153.800,Little Master.shop
OPPO A5 2020 RAM 3/64 GB GARANSI RESMI OPPO INDONESIA,,https://images.tokopedia.net/img/cache/200-square/product-1/2019/9/28/1478616/1478616_e431f059-fa52-4830-a7c0-08345b2e88ca_700_700.jpg,4.9,"Rp1,74jt - Rp2,09jt",Grandstore cell
HP Oppo A37 3/32,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/16/14b1503f-c3f3-46ec-b963-d43b1110318f.jpg,5.0,Rp1.000.000,KELLYASSHOP
Samsung Galaxy A14 5G 6/128 GB RAM 6 ROM 128 6GB 128GB,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/2/7a454af1-5c90-4738-84cd-1b36f20642be.jpg,5.0,"Rp2,27jt - Rp2,58jt",SUPER_GADGET
INFINIX HOT 11S NFC RAM 6 128 RAM 4 64 GARANSI RESMI,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/9/18/4ca78b87-842f-4974-90ed-7b63f9711c48.png,4.9,"Rp2,39jt - Rp2,95jt",ALFASTORE-
(RESMI) Samsung Galaxy M14 5G 6/128GB 128 GB Blue Silver SEIN,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/15/4e03ef7a-4354-4551-ac81-7571906c47ed.jpg,4.9,Rp2.047.000,Putra Group
Redmi 12c 4/64 New Segel Original No repack,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/13/6ff8b3bd-02ca-47fb-a4b8-eb4b7227fc3e.jpg,5.0,Rp990.000,mondar mandir cell & electronics
HP Mini SAMSUNG B310E Mini DUAL SIM Bisa Bahasa Indonesia Hp Kecil,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/26/46dadf3b-6e11-4d6b-8e96-1f456ceb6bec.jpg,4.8,Rp195.000,Grandstoreid
HP VIVO Y72 RAM 12 ROM 256GB 5G Smartphone GARANSI 1TAHUN,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/10/ae98563a-6bc3-4dc5-96df-3e5f2fac1e11.jpg,,Rp1.620.000,allexo
Samsung Galaxy A05s 6/128GB - Silver,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/6/1307bef7-b700-4aa9-95c4-c651f71f4603.jpg,,Rp2.299.000,Deltafone - Samsung Authorized
OPPO A12 RAM 3/32 GB GARANSI RESMI OPPO INDONESIA,,https://images.tokopedia.net/img/cache/200-square/product-1/2020/4/17/2137360/2137360_c72c3443-6a2a-4858-b259-dc90433f2816_1080_1080.jpg,4.9,"Rp1,26jt - Rp1,59jt",189 CELL
OPPO A9 2020 RAM 8/128 GB GARANSI RESMI OPPO INDONESIA,,https://images.tokopedia.net/img/cache/200-square/product-1/2020/1/6/564952244/564952244_b9dc5247-7ef6-4c2f-923c-5694fd9bee28_700_700.jpg,4.9,"Rp2,8jt - Rp2,82jt",Grandstore cell
Apple iPhone 13 Pro Max 128GB | 256GB | 512GB | 1TB Garansi Resmi iBox,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/1/23/9e3f9027-6dd7-4017-a344-808f6c49141b.jpg,5.0,Rp18.699.000,Universe Store
Samsung Galaxy A24 LTE 8/128GB,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/2/759b3710-32c1-4c50-b3fa-f2c556202888.jpg,4.9,Rp3.377.000,Samsung Official Store
iPhone 12 Pro / 12 Pro Max 128GB 256GB 512GB Bekas Mulus Fullset Ori,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/15/117e3b69-9efe-4cf8-8093-27c79771b50e.jpg,5.0,"Rp8,3jt - Rp16,2jt",Big Berry Cellular
IPHONE 11 64GB SECOND FULL SET,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/26/8f85f146-555f-4546-85af-a174cf892fc2.jpg,4.9,Rp4.950.000,Pstore_
XIAOMI REDMI NOTE 12 4/128 6/128 8/128 8/256 GARANSI RESMI TAM,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/27/a00b81f1-9930-43b5-bf27-1a4443e2758e.jpg,4.9,"Rp2,19jt - Rp2,79jt",Ini Toko Budi
realme C53 6/128GB - 5000 mAh Battery | 33W SUPERVOOC Charge | NFC,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/16/76f36fc9-4138-469f-95cc-9b943ac4da05.jpg,4.9,Rp1.899.000,realme Official Store
OPPO F1S 4/32GB GARANSI TOKO 1 TAHUN,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/14/b755c298-3bbb-4b96-9868-02a151da32a7.jpg,4.7,Rp427.000,Rhacellindo Multimedia
iPhone 11 64GB 128GB 256GB Garansi Resmi iBox NEW BNIB,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/24/52316973-d7d3-4ce2-82c0-67c083da4124.png,5.0,"Rp7,49jt - Rp8,99jt",MACheap
"REALME C35 4/128 GB GARANSI RESMI, REALME C35 4/64 GB GARANSI RESMI",,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/10/bb47df42-8122-418b-a9ab-4965a8d13053.jpg,5.0,"Rp2,13jt - Rp2,49jt",angel 19
Oppo A17 4/64GB 3/32GB Garansi Resmi 4 GB 64 GB Not A16 A76 A55,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/21/dd051028-aa37-439e-8229-e67ee8cdccb2.jpg,4.9,"Rp1,37jt - Rp2,49jt",Distributor Ponsel
Samsung M33 5G 8/128GB dan 6/128GB GARANSI RESMI SEIN,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/27/f9be1ef7-cc04-4815-a17f-436a7723fd20.jpg,5.0,Rp2.850.000,D'Lounge shop
APPLE IPHONE XR 128GB FULLSET ( GARANSI 1 TAHUN ),,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/22/52a9d494-a08d-471c-ad73-4258561a36a8.jpg,4.9,"Rp4,1jt - Rp4,45jt",CoCo apple store
Oppo A15 RAM 3/32GB Fullset Like New,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/8/0ef531d5-6f70-4442-818b-fff38935286c.jpg,4.9,Rp675rb - Rp790rb,Sinar Citangkill
OPPO A5S RAM 3/32 GARANSI RESMI OPPO INDONESIA,,https://images.tokopedia.net/img/cache/200-square/product-1/2019/8/14/463362090/463362090_4856b0cf-639d-418b-8c11-e72b70d87a12_700_700.jpg,4.9,Rp1.639.900,BEST PONSEL
Iphone 11 Pro 256gb Bekas Fullset,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/6/19/7461a00d-4741-4a2c-bc76-8b7ce2d1532c.jpg,4.9,Rp6.600.000,Boboy Store
OPPO A53 RAM 4/64 GB GARANSI RESMI OPPO INDONESIA,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/25/be706888-bb67-4d1f-875e-087bc9af0620.jpg,4.9,"Rp1,67jt - Rp2,64jt",189 CELL
PROMO Samsung Galaxy A13 6/128 Garansi Resmi,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/6/27/daf7e31f-6f6d-4068-95b6-d135e42d4ea8.jpg,5.0,Rp2.599.000,jikalaku
"Apple iPhone X 64GB Second mulus ex internasional,fullset",,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/2/23/f54e98dc-6600-4e7a-976a-1f8e51dcf8ec.png,4.9,"Rp2,73jt - Rp2,98jt",cellularline168
Xiaomi Poco M4 Pro 6/128 GB Garansi Resmi,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/4/7/374160d2-81fd-4b4a-8d5a-52a122ad152d.jpg,4.9,"Rp2,34jt - Rp2,42jt",Gudang-HP
IBOX Resmi iPhone 13 Pro Max 128GB 256GB 512GB 1TB Blue Graphite Gold,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/3/29/f842973c-ec8c-44fd-9da4-53d15e732621.jpg,5.0,"Rp15,4jt - Rp27jt",ARMYAPPLE
Xiaomi Mi 11 Lite 6/64GB + 6/128GB + 8/128GB Garansi Resmi,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/23/7ca4e097-b139-4f32-8c81-349da35780b6.jpg,5.0,"Rp3,19jt - Rp3,49jt",duniagadgetku
Iphone 12 Pro Max 128gb / 256gb / 512gb Bekas Fullset,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/6/64d4c787-43cc-4905-8ca3-36a184cc4ea1.jpg,5.0,"Rp10,1jt - Rp10,6jt",Boboy Store
Samsung Galaxy A02S 4/64 GB Garansi Resmi SEIN,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/8/d26343d3-350c-4f23-b879-14ff9c4f858d.jpg,5.0,Rp2.499.000,Voucher Central
iPhone 14 Garansi Resmi,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/25/a6326dd1-8334-4fd7-821a-5ace01e12c2e.png,5.0,Rp12.980.000,igoods gadget
OPPO A16 RAM6/128GB GARANSI 1THN,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/23/7fe46b9a-bd3f-4ee9-90a6-83ef03c3f47a.png,4.8,Rp769.000,Rich PhoneStore
Samsung Galaxy M14 5G 6/128GB Garansi Resmi,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/25/dd2d7d8d-96f1-489b-aa5a-d06079855b29.png,5.0,Rp2.267.000,Indigo Celuler
IPHONE 11 64 GB FULLSET SECOND/BEKAS ORIGINAL 100% MULUS,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/3/23/8a0b1f8b-84de-4829-9055-bc88072bfe3a.jpg,4.8,Rp4.500.000,AA Store168
Samsung Galaxy A05 4/64GB - Grs resmi Sein,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/14/cc8cfc0e-7e32-4eec-83e6-8e03e1f54f90.png,4.6,Rp1.239.000,Metrosel Cellular
Realme C35 4/128 4/64 GB Garansi Resmi Realme C35 2022 Not C11,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/21/a03fb732-3dc1-4a91-9880-fb8469536608.jpg,4.9,"Rp2,59jt - Rp3,19jt",Distributor Ponsel
OPPO A12 RAM 3/32 GB GARANSI RESMI OPPO INDONESIA,,https://images.tokopedia.net/img/cache/200-square/product-1/2020/4/21/1478616/1478616_4dc67b71-4460-4e5d-b376-64ec003a0897_1080_1080.jpg,4.9,"Rp1,53jt - Rp1,54jt",Grandstore cell
Infinix Hot 30i 8/128GB -Up To 16GB- 50 MP Camera- 8/128 Garansi Resmi,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/4/14/bccb8a6b-a1f3-4bcb-b00b-acb4f4093130.jpg,4.9,Rp1.449.000,Infinix Official Store
(RESMI) Samsung Galaxy A52S 5G A52 S 256GB 8GB Mint Black Violet SEIN,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/30/1c74f942-edc6-4a77-abfc-fda0cac93d8a.png,5.0,"Rp5,25jt - Rp5,49jt",Putra Group
iPhone 13 Pro 128GB 256GB 512GB 1TB Sierra Blue Graphite Gold Silver,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/3/19/999f9af4-234b-4797-a725-58d6b40def09.jpg,5.0,Rp18.499.000,Putra Group
Xiaomi Redmi Note 11 4/128 GB Garansi Resmi,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/3/21/fcf8f920-9c67-40af-b7f8-712fb4cedfc7.jpg,5.0,"Rp1,76jt - Rp1,83jt",Gudang-HP
Redmi 9A New Segel Box 2/32 2GB 32GB Garansi Resmi Xiaomi Indonesia,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/12/4b31bdd1-8ff5-4f55-a7d6-18044e038048.jpg,5.0,"Rp1jt - Rp1,13jt",ZeiL Store
OPPO A57 5G 8/128 GB 4/64 GB Garansi Resmi Oppo A57 2022 Not A16 A95,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/11/a326c42d-2041-492e-9ec9-6221ac59d2fd.jpg,4.9,"Rp1,64jt - Rp2,69jt",Onestop Ponsel
Vivo Y22 4/64GB [RAM 4GB + 1 GB Extended] Garansi Resmi,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/9/20/af9f6361-a14d-43c0-a199-aafa4ae36671.jpg,5.0,"Rp1,67jt - Rp1,73jt",duniagadgetku
VIVO S1 RAM 4/128 GARANSI RESMI VIVO INDONESIA,,https://images.tokopedia.net/img/cache/200-square/product-1/2019/7/24/516642647/516642647_c23d389d-b9fa-4996-a7e3-b6eb7c422d27_1080_1080.jpg,5.0,"Rp2,51jt - Rp2,54jt",189 CELL
Samsung Galaxy A05 4/64 4/128 6/128 Garansi Resmi Sein By Tam,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/27/d56caa68-dba9-423b-b8ce-a52c7ad853a7.jpg,4.9,"Rp1,42jt - Rp1,99jt",Ini Toko Budi
iphone xr 64 gb fullsett,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/18/954cf81b-7c56-4b11-9729-c13adcbd3708.png,4.9,"Rp3,77jt - Rp5,33jt",PRO BET STORE
Advan Hammer R2 Hp Murah Garansi Resmi,,https://images.tokopedia.net/img/cache/200-square/product-1/2020/8/13/33121225/33121225_7bc7a0e3-c1f4-48c9-9112-c078148ed9da_600_600,4.9,Rp145.000,Kreasindo Online
VIVO Y12S RAM 3/32 GB. GARANSI RESMI VIVO INDONESIA,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/28/2e72144e-409b-43ba-badc-7649745eebc4.jpg,5.0,Rp1.999.000,Toko Ammar
EVERCOSS M60 RAM 2/16GB Original,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/10/18/3a16bd29-e5a3-4bf6-8268-287ac859849a.jpg,5.0,Rp540.000,Garden Cell Official
(IBOX) Apple iPhone 14 Pro Max ProMax 1TB 512GB 256GB 128GB Resmi TAM,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/10/21/3ebd8d18-d16a-4479-96b9-608ca818637c.jpg,5.0,"Rp19,4jt - Rp28,9jt",Putra Group
iphone 11 64gb 128gb 256gb Second Fulset EX inter Kondisi Mulus,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/16/bec4d938-8dd5-40b7-981d-228516ed54e5.png,4.9,"Rp4,5jt - Rp6,15jt",kino phone cell
IBOX iPhone 13 128GB 256GB 512GB Starlight Midnight Pink Blue Red 5G,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/3/19/70db2474-a909-4145-9e2d-3c8aa8a55b3c.jpg,5.0,"Rp11,5jt - Rp21,1jt",Putra Group
OPPO A53 RAM 4/64 GB GARANSI RESMI OPPO INDONESIA,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/24/aa951f02-2018-40b8-bb8e-ed13b0dbdadf.jpg,4.9,"Rp2,18jt - Rp2,19jt",Grandstore cell
VIVO Y12S RAM 3/32 GB GARANSI RESMI VIVO INDONESIA,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/2/b458fef9-9e00-4b03-a754-1777e57cd5c2.png,4.9,"Rp1,19jt - Rp1,94jt",189 CELL
Samsung Galaxy A54 5G 8/256GB,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/7/3864d6aa-6782-4a3e-86bc-86e9af2aabe7.png,4.9,Rp5.998.000,Samsung Official Store
Samsung Galaxy A54 5G 8/256 GB Garansi Resmi SEIN,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/17/ca0b9c0f-3466-4756-b364-de4c332599c4.jpg,5.0,"Rp5,23jt - Rp6,19jt",Gudang-HP
OPPO A3S RAM 2/16 GB GARANSI RESMI OPPO INDONESIA,,https://images.tokopedia.net/img/cache/200-square/product-1/2018/8/10/0/0_de1168dc-4497-46c9-aa6c-e97f0c4b4138_540_540.jpg,4.8,Rp1.499.000,Grandstore cell
VIVO Y93 GARANSI RESMI VIVO INDONESIA,,https://images.tokopedia.net/img/cache/200-square/product-1/2019/1/3/376861591/376861591_f6cd010a-6a9f-493a-8280-5542f7194d8f_1080_1080.jpg,5.0,Rp1.729.900,189 CELL
Realme C31 3/32GB + 4/64GB Garansi Resmi,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/3/28/ffa4332d-4922-4bc7-84cc-d60fc395d8a5.jpg,5.0,"Rp1,33jt - Rp1,39jt",duniagadgetku
iPhone 15 Garansi Resmi Promo,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/21/872fce24-2378-466e-bd22-15b6a6264726.jpg,5.0,Rp15.826.000,igoods gadget
Samsung Galaxy A54 5G 8/128 GB + 8/256 GB Garansi Resmi,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/6/e3c1c5f6-4a5d-4a1b-a637-2f83893ed9ad.jpg,4.9,Rp5.004.000,duniagadgetku
VIVO Y33S RAM 8/128GB BERGARANSI 1THN,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/4/6/e6babbe4-2665-4ac9-8aca-0e9af2f70659.png,4.8,Rp1.059.000,OnePhonestore
Handphone Oppo A3S RAM 6/128 GB New Series GARANSI 1 Tahun,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/9/af29806a-8956-4c8f-b4bd-fc3b81071df0.png,4.7,Rp559.000,WancellStore
SAMSUNG GALAXY A05S 6GB/128 GARANSI RESMI SEIN 1 TAHUN,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/7/4072453b-c95d-4670-bc0f-c46a05831918.jpg,4.9,Rp2.165.000,Haga Gadged Store
Official Xiaomi POCO F5 (12GB+7GB/256GB) | (8GB+5GB/256GB) Snapdragon ,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/31/e56a4f85-db51-4684-8057-fb83333f5113.png,4.8,"Rp4,99jt - Rp5,49jt",Xiaomi Official Store
Iphone 11 128GB Garansi Resmi TAM / Ibox,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/25/7afd2ab5-5cc9-4920-acb8-ac208b9a9b8a.png,5.0,"Rp6,99jt - Rp9,99jt",igoods gadget
Xiaomi NEW Redmi 9 4/64 GB Garansi Toko,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/17/651126f8-ee71-43fd-95c8-165d0ca2c34e.jpg,4.9,"Rp1,09jt - Rp1,19jt",TOKONIK GADGET
"Xiaomi SECOND Redmi 9A 2/32 6.53"" HD Mi Smartphone AI Face Unlock",,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/17/d64bd31b-2682-4dc7-861b-cb8b28b43140.jpg,4.9,Rp550.000,TOKONIK GADGET
"Xiaomi Redmi 9A 2/32 ~ 3/32 GB Garansi Resmi , IMEI Terdaftar",,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/9/13/ba15bb33-1dfc-46c6-ad3e-708c9c446dbe.jpg,5.0,"Rp1,09jt - Rp1,39jt",duniagadgetku
Xiaomi Redmi Note 12 4/128GB + 6/128GB + 8/128GB Garansi Resmi,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/31/1a1ad548-222e-4428-bab7-cbc9fbc41690.jpg,5.0,"Rp1,96jt - Rp2,63jt",duniagadgetku
Infinix Note 30 8/256GB - Up To 16GB - 120 HZ Screen - 8/256,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/9/c2e1dfbb-4c68-482d-bfda-8dd06c932218.jpg,5.0,Rp2.099.000,Infinix Official Store
Official Xiaomi POCO X5 Pro 5G (6GB/128GB) | (8GB/256GB) Snapdragon,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/7/b11c1014-5aa9-4029-8fee-3b093381c9fe.jpg,4.9,"Rp3,99jt - Rp4,49jt",Xiaomi Official Store
Samsung Galaxy A04e 3/32GB,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/5/bc0a4503-dd2d-4423-8996-150cd152fe36.jpg,4.9,Rp1.205.500,Samsung Official Store
REALME C51 4/128 RAM 4GB ROM 128GB GARANSI RESMI,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/27/de375b7d-ef9c-4c4b-bef7-974e46ead4f3.jpg,4.9,"Rp1,37jt - Rp1,73jt",Ini Toko Budi
