Name,Description,ImageLink,Rating,Price,StoreName
samsung a14 5G ram 6/128gb new,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/8/26e9592a-19f0-4bc3-9002-8e37366dd227.jpg,5.0,Rp2.300.000,restu hp
Samsung Galaxy A34 5G 8/128GB Garansi Resmi Samsung 1 Tahun,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/4/4/783578f6-334f-41aa-987c-8569ff36d757.jpg,5.0,Rp4.138.709,BintangTimurSelindo
"(IBOX) Apple iPhone 14 Pro 1TB 512GB 256GB 128GB 6.1"" inch Resmi TAM",,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/10/21/e5fb7d7f-7ea1-4d47-906d-89b51e29fa15.jpg,5.0,Rp19.019.000,Putra Group
"Official Xiaomi POCO F5 (12GB+7GB/256GB) | (8GB+5GB/256GB) Snapdragon  - Biru, 8+256G",,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/31/e56a4f85-db51-4684-8057-fb83333f5113.png,4.8,Rp4.999.000,Xiaomi Official Store
(RESMI) Samsung Galaxy A54 8/128GB 8/256GB 5G Black Lime White SEIN,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/16/e54dec1b-2fa7-485f-b24c-ba8bbbb0b035.jpg,4.9,Rp5.119.000,Putra Group
OPPO A54 RAM 4/64 GB GARANSI RESMI OPPO INDONESIA,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/21/fe750dee-a3e5-495f-a052-9f5afd4009db.jpg,4.9,"Rp1,39jt - Rp2,1jt",Grandstore cell
OPPO A31 6/128GB FULLSET GARANSI 1 TAHUN,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/1/66b8a2f9-0e25-419b-848a-bdb37d701ea9.jpg,4.8,Rp719.000,Yesponsel
"XIAOMI REDMI 9A 3/32 GB , REDMI 9A 2/32 GB 100% ORI GARANSI RESMI",,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/10/31/1fe6fed6-f815-4f5e-b433-97e129114bfa.jpg,5.0,Rp960.000,STR-STORE
iphone 11 64gb 128gb second fullset mulus terawat,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/2/d14f4c37-a935-4424-8004-f1882902d470.jpg,4.9,"Rp4,94jt - Rp5,44jt",JoyTaroGadgetOfficial
VIVO Y91C RAM 2/32 GARANSI RESMI VIVO INDONESIA,,https://images.tokopedia.net/img/cache/200-square/product-1/2019/4/15/2137360/2137360_f87e907b-96ae-4147-849b-ab0b065265a0_1080_1080.jpg,4.9,"Rp999rb - Rp1,42jt",189 CELL
Samsung Galaxy A14 5G NFC 6/128 GARANSI RESMI,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/28/3a9431fb-5b55-445f-bc0c-12fccc3b2422.jpg,5.0,"Rp2,41jt - Rp2,99jt",PS.ONLINE OFFICIAL STORE
"New iPhone 13 Pro Max 256 / 512 / 1TB Graphite,Gold,Silver,Sierra Blue",,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/15/49ee6e8a-95b3-4377-81cf-9583a8adb625.jpg,4.9,"Rp15,7jt - Rp23,4jt",tokohapedia
Apple iPhone 14 Pro Max - Garansi Resmi iBox Apple Indonesia,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/10/28/01f1ff68-5e22-4f65-b604-09aef82e7791.jpg,5.0,"Rp20,7jt - Rp29,8jt",Universe Store
New Redmi 10C 4/64GB 4/128GB Garansi Resmi Xiaomi Indonesia 15 Bln,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/1/37842ba8-d2d3-42be-ac54-0341aa3a0544.jpg,5.0,"Rp1,4jt - Rp1,59jt",ZeiL Store
